자치구명,평균임대면적,평균보증금,평균임대료,평균건축년도,평균종전보증금,평균종전임대료,도서관수,공원시설수,병원수,CCTV총수,안심귀갓길수,총ocrn,총arst,총1인가구수,남성1인가구,여성1인가구
종로구,46.1,16756.9,48.7,2003.9,9139009.1,11272.0,43,168,676,2339,506,2981.0,3485.0,27308,13211,14097
중구,46.2,21577.1,48.5,2008.8,9313019.6,15754.5,37,168,771,3118,465,3348.0,2465.0,24544,11654,12890
용산구,55.5,28356.2,51.0,2004.2,7369532.6,12424.6,20,168,440,3609,618,3021.0,2268.0,39270,18124,21146
성동구,54.1,31053.5,51.5,2004.0,9404222.4,18994.4,10,168,638,4638,253,2023.0,1411.0,44946,22127,22819
광진구,40.9,16401.7,39.3,2004.9,6244874.7,11546.1,14,168,784,4636,341,3424.0,2333.0,66140,31456,34684
동대문구,45.0,17288.8,39.6,2008.8,4889013.4,10371.8,19,168,866,3846,542,2957.0,2301.0,65290,32424,32866
중랑구,46.3,14726.1,27.3,2007.6,6295096.4,10942.5,8,168,758,5392,579,3324.0,2474.0,60487,29812,30675
성북구,52.0,20193.7,32.9,2006.4,8139364.0,11990.2,26,168,765,4906,921,2411.0,1958.0,64985,29018,35967
강북구,46.8,11249.8,31.3,2003.5,3339493.1,6449.3,11,168,645,3584,1136,2497.0,2142.0,48428,22386,26042
도봉구,54.4,14555.7,27.2,1998.8,5126935.5,11625.1,10,168,509,2808,395,1921.0,1406.0,37853,16789,21064
노원구,52.8,18191.4,26.1,1996.1,5988391.8,9872.3,21,168,1001,4105,563,3567.0,2607.0,60647,25813,34834
은평구,49.2,17861.9,27.3,2009.0,3516124.4,8966.4,13,168,947,5683,389,3493.0,2678.0,62447,27014,35433
서대문구,47.8,18972.5,40.2,2005.5,6739315.5,11101.5,18,168,610,4218,481,2385.0,1641.0,52792,23061,29731
마포구,45.8,21609.7,45.0,2006.5,7705030.4,14230.0,15,168,1004,3809,276,3834.0,2888.0,67162,29119,38043
양천구,58.5,28667.9,28.7,2001.6,9669936.0,17584.3,12,168,874,4854,216,3019.0,2135.0,42973,19657,23316
강서구,43.5,17555.3,29.1,2009.3,5010308.9,9695.2,19,168,1238,3874,384,4296.0,3544.0,94436,42696,51740
구로구,50.7,16240.3,29.0,2005.3,5499761.7,8547.8,19,168,810,5694,309,3737.0,2632.0,54980,27121,27859
금천구,38.8,12941.4,28.2,2010.1,5571787.9,6615.0,6,168,507,3458,223,2240.0,1753.0,46827,25133,21694
영등포구,45.3,22849.2,32.8,2008.6,8332532.6,16403.5,23,168,1113,5133,560,4418.0,3387.0,69806,34736,35070
동작구,47.2,21731.5,34.7,2006.7,6628246.5,8156.8,19,168,804,3664,647,2642.0,1763.0,68231,32345,35886
관악구,36.5,10971.9,37.2,2007.1,3580562.9,5284.8,9,168,964,6614,716,4769.0,3496.0,136255,71434,64821
서초구,60.9,44609.3,59.4,2006.8,13387590.0,30216.9,44,168,1803,6036,696,4522.0,3049.0,45933,20238,25695
강남구,58.8,41011.3,66.3,2004.0,16032779.1,26777.7,33,168,3530,8352,935,6763.0,4992.0,71986,31048,40938
송파구,52.9,29283.4,42.2,2006.4,9732679.0,15242.6,20,168,1656,4665,655,5223.0,3520.0,79262,35267,43995
강동구,50.8,24236.6,31.7,2009.4,10814296.1,15086.7,12,168,1174,4238,506,3398.0,2495.0,56905,26641,30264
